model,dataset,avg_psnr,avg_ssim,avg_time
Bicubic,Set5,26.64774403255317,0.7901598500871562,0.0007932186126708
Bicubic,Set14,24.20886079205845,0.6856103010725371,0.0012772934777396
Bicubic,BSD100,24.65075253574703,0.6613770113126324,0.000979356765747
Bicubic,Urban100,21.699059082182444,0.6517022051791017,0.005613317489624
SRCNN,Set5,27.293893523236115,0.8073268242016667,0.0523611799999343
SRCNN,Set14,24.682524427957198,0.704564631336592,0.0218521571429002
SRCNN,BSD100,25.045416773689173,0.6849238457514086,0.0265337509999835
SRCNN,Urban100,22.13693342598109,0.6754753387344392,0.0745222900000089
EDSR-lite,Set5,28.150726122270264,0.8346238043107984,0.0763663200001247
EDSR-lite,Set14,25.199080176497542,0.7290208714854174,0.0118990000000849
EDSR-lite,BSD100,25.42197924385238,0.7053512076025386,0.0359989919999498
EDSR-lite,Urban100,22.65039407932553,0.7020742359595122,2.9661566980000043
Attention-EDSR,Set5,28.394140324573147,0.8416643253988362,0.0814628600011928
Attention-EDSR,Set14,25.3612938241446,0.7339073747638674,0.0177568285710419
Attention-EDSR,BSD100,25.50190253251134,0.7088261958489666,0.050098527999653
Attention-EDSR,Urban100,22.790290902902537,0.7100494730545698,0.1029026910001994
